steps,avg_loss,mean_td_error
753,0.9554,1.9684
754,0.7779,2.7486
755,0.5376,1.4888
756,1.8344,3.2231
757,2.9906,4.8955
758,1.1018,2.4061
759,1.3422,2.8322
760,2.0643,4.0124
761,0.5756,1.5416
762,1.0100,2.3551
763,1.5588,3.2187
764,1.5684,3.2364
765,0.9499,2.3385
766,0.9604,1.9963
767,1.0870,2.3764
768,0.9594,2.4257
769,1.4031,4.0832
770,0.4145,1.0851
771,0.8649,1.9438
772,1.4745,3.1912
773,2.2021,4.0345
774,1.5206,3.6287
775,0.6686,1.5367
776,1.2970,2.7882
777,0.9944,3.6505
778,0.1705,0.6723
779,2.0580,3.6315
780,0.4593,1.4685
781,2.0631,3.6376
782,2.2531,4.6921
783,3.7330,7.0043
784,0.7571,3.0483
785,2.0206,4.6480
786,2.0480,5.0969
787,2.0348,3.8835
788,3.7798,7.9763
789,2.6830,5.1076
790,5.0746,9.4276
791,1.8919,3.4324
792,4.1144,7.5982
793,1.9208,5.6640
794,2.8948,6.3157
795,3.0761,7.4905
796,1.7801,3.1807
797,3.0854,6.3212
798,2.6968,5.0019
799,2.6508,4.7009
800,1.8591,3.9271
801,1.1361,2.3186
802,2.6115,5.2365
803,2.4371,4.7177
804,1.8562,3.6182
805,2.6136,5.5204
806,2.0987,3.9744
807,1.7247,3.4976
808,2.7886,5.2373
809,3.4040,7.7499
810,1.3497,2.6234
811,1.8941,5.1119
812,2.1411,4.6683
813,3.7471,8.2512
814,1.3256,2.7572
815,3.0985,4.8347
816,4.2120,7.4391
817,1.5476,3.1172
818,1.9665,5.2501
819,2.6056,5.0288
820,2.9554,5.8129
821,1.1391,3.2104
822,3.3185,5.4243
823,1.6908,5.1983
824,1.6753,4.7450
825,1.8938,4.7689
826,2.9768,5.4521
827,3.5478,7.3244
828,2.4420,5.6067
829,2.4416,5.2481
830,1.2864,3.1220
831,2.8920,7.3116
832,2.9119,5.1922
833,2.9559,5.2531
834,2.7617,8.7297
835,2.7501,6.2675
836,1.6594,6.5832
837,2.8726,5.5726
838,3.7492,7.2780
839,1.3713,5.1437
840,1.5486,3.1823
841,3.3934,6.4961
842,3.2076,7.0893
843,3.0069,6.7293
844,1.5105,6.1520
845,2.4806,6.5809
846,3.4175,7.8753
847,0.9138,3.0878
848,4.0009,8.2415
849,2.9198,5.6107
850,2.7271,4.7527
851,2.7255,5.3243
852,2.6731,4.4561
853,1.7066,3.2221
854,2.6545,5.1471
855,3.6535,6.9726
856,2.2309,6.6594
857,1.8344,3.4925
858,2.7738,5.4597
859,3.7535,7.3897
860,1.7818,3.1373
861,3.9377,7.4230
862,1.4846,2.7454
863,2.2012,3.8167
864,1.8103,4.0632
865,2.1652,3.5618
866,1.9923,5.8965
867,1.9670,3.9291
868,1.4519,3.8606
869,1.5264,3.5523
870,2.5827,5.2025
871,2.1554,4.3997
872,3.0801,6.7050
873,1.1025,3.5575
874,3.3435,6.2042
875,1.3276,3.1464
876,0.8798,3.5453
877,2.3337,5.4978
878,3.0323,5.0831
879,3.8547,7.7765
880,1.7932,8.2083
881,2.4577,5.4935
882,4.0096,7.0138
883,1.9814,3.5688
884,2.0241,4.8312
885,4.0295,6.8055
886,3.2057,5.4863
887,0.5503,1.5201
888,3.1207,5.5314
889,3.4967,7.4637
890,3.4438,6.4560
891,1.7605,6.1818
892,2.2061,7.5151
893,1.7649,5.1783
894,0.7311,1.9295
895,2.2253,4.6432
896,4.4289,8.7953
897,1.5771,3.8589
898,2.3310,4.7653
899,1.9785,3.9582
900,2.2576,5.0593
901,1.2447,3.1882
902,2.4618,4.8128
903,1.9073,4.2177
904,2.8657,5.5161
905,2.7192,7.1580
906,2.7083,4.8532
907,2.9592,5.3977
908,3.1689,5.8462
909,1.8045,4.6497
910,1.9509,3.2736
911,1.1487,2.7435
912,2.9387,5.8809
913,0.9163,1.8771
914,2.5805,6.6941
915,2.1345,4.0041
916,2.3765,4.7809
917,1.8841,3.7936
918,3.6055,6.1815
919,2.1734,5.5763
920,1.9653,6.0903
921,3.2060,6.6656
922,2.0774,3.5385
923,1.8037,3.1246
924,2.7049,5.6099
925,1.8706,3.8247
926,2.6473,4.7657
927,1.6286,3.5347
928,3.6226,6.1188
929,3.3033,6.2642
930,2.4980,4.3446
931,2.1050,3.7967
932,1.5550,3.6631
933,1.8549,3.9019
934,3.3768,6.6212
935,1.2281,2.2740
936,1.8307,3.4561
937,4.1150,7.4408
938,3.2525,6.8634
939,3.5066,5.8172
940,3.3578,5.9940
941,3.7165,6.8261
942,2.5193,6.3401
943,4.2567,7.5639
944,2.1680,5.1172
945,3.3589,6.6138
946,4.8496,8.2571
947,1.4164,2.6683
948,4.1337,8.2318
949,3.0771,6.3509
950,2.8618,5.7577
951,2.2060,4.3897
952,3.4237,5.8368
953,4.3712,7.7775
954,2.6572,5.0448
955,3.5006,7.3775
956,1.2286,2.3711
957,3.0664,5.5504
958,2.0903,3.9280
959,2.1373,4.4082
960,3.9804,7.0583
961,4.0040,7.1245
962,2.3072,6.1963
963,1.4236,3.1460
964,1.6555,3.1475
965,2.3306,4.3367
966,1.7442,3.1732
967,1.4599,3.1158
968,2.6094,5.1082
969,1.5470,3.9359
970,1.3602,5.5439
971,2.8249,5.2821
972,2.8578,5.1258
973,3.3014,5.8704
974,2.6662,4.7148
975,3.0627,5.8929
976,2.5385,5.3000
977,1.3949,6.0204
978,2.0721,4.7797
979,3.2228,6.7532
980,0.6271,1.4591
981,2.4780,4.7375
982,1.3648,2.7411
983,2.6317,4.6754
984,1.9867,4.7737
985,4.3866,7.9874
986,1.1596,3.4212
987,0.8633,4.3515
988,1.2446,4.4957
989,2.1811,4.3419
990,1.5752,4.6252
991,2.9644,5.1156
992,2.2825,4.2535
993,2.7491,5.8986
994,2.4360,6.7839
995,2.3305,5.5801
996,3.0897,5.7780
997,1.4299,5.0750
998,3.0835,5.8545
999,2.1325,4.0427
1000,3.3433,5.9447
1001,0.8564,1.8516
1002,2.8987,5.9279
1003,2.7112,5.5808
1004,1.4423,3.1285
1005,2.6138,4.9991
1006,1.3638,4.2174
1007,3.4676,6.2873
1008,2.2992,4.3223
1009,1.7043,3.4942
1010,1.7895,6.3981
1011,2.5450,6.1471
1012,1.6751,3.0751
1013,2.4034,6.0403
1014,3.1420,5.4852
1015,4.9498,8.4310
1016,2.7886,5.7647
1017,2.9889,4.9707
1018,4.6798,8.6600
1019,3.1199,5.9422
1020,2.9175,5.5261
1021,1.7818,3.1505
1022,3.5077,6.7261
1023,2.4694,4.2303
1024,2.8913,5.2493
1025,0.6388,2.2670
1026,2.5487,4.7409
1027,2.1173,4.8538
1028,1.8104,4.0266
1029,4.4055,7.9262
1030,2.6326,4.3915
1031,2.1524,5.3957
1032,2.3143,6.2707
1033,0.4588,1.9220
1034,1.4799,3.1284
1035,2.2603,5.6956
1036,2.5442,6.3803
1037,2.8212,4.9578
1038,3.3107,6.8343
1039,1.3388,2.7207
1040,2.6358,6.1676
1041,1.5894,3.9064
1042,2.1671,4.7240
1043,1.4246,3.8933
1044,1.9168,4.3765
1045,3.6681,6.3627
1046,3.4219,5.8419
1047,2.0671,4.7489
1048,2.2661,4.3319
1049,0.6670,1.4578
1050,2.6566,5.8258
1051,2.2465,3.9947
1052,4.9003,8.5782
1053,3.0672,5.6390
1054,3.0911,6.9541
1055,1.7147,7.1631
1056,2.0573,4.4403
1057,3.4810,7.1224
1058,0.4195,1.3876
1059,2.8546,5.2121
1060,3.5992,7.1596
1061,1.3335,3.2565
1062,3.1396,6.2804
1063,4.0168,6.6996
1064,2.9143,5.0961
1065,4.0068,7.1148
1066,1.5975,3.4395
1067,3.1259,6.6963
1068,2.1377,3.9184
1069,2.0493,4.2943
1070,2.4938,5.1132
1071,3.8333,6.8147
1072,2.1791,4.5935
1073,3.0546,5.4072
1074,2.3818,5.1801
1075,2.7258,4.8750
1076,1.5945,4.5628
1077,1.0288,2.2967
1078,0.9535,2.4171
1079,3.0751,5.5788
1080,1.3203,3.5882
1081,1.4361,3.1464
1082,2.0268,4.6657
1083,1.8922,4.4621
1084,2.2560,3.8689
1085,1.5354,3.2480
1086,3.1461,6.1550
1087,0.5762,1.9227
1088,3.7233,6.8624
1089,0.7005,4.6631
1090,2.4184,4.9050
1091,2.1856,5.3039
1092,1.1179,3.1600
1093,0.2970,1.0841
1094,1.7875,5.7599
1095,1.8731,3.9018
1096,1.0645,2.6829
1097,0.9404,1.9585
1098,1.4140,4.2952
1099,2.9092,5.1396
1100,1.1073,2.8338
1101,3.0180,6.4020
1102,1.0187,3.8489
1103,1.8212,5.7619
1104,3.0739,7.1955
1105,2.2424,3.8488
1106,3.3357,5.5967
1107,5.5511,8.6431
1108,2.1609,4.0894
1109,2.7587,4.8612
1110,1.4270,2.9362
1111,2.4510,4.3432
1112,1.8792,4.2477
1113,2.3605,4.6309
1114,1.4490,3.1803
1115,2.2582,4.7499
1116,2.1359,3.5603
1117,2.7114,5.5716
1118,1.7889,3.5930
1119,2.6598,5.5054
1120,2.5763,6.8348
1121,3.3525,6.9173
1122,4.3264,8.4858
1123,1.5073,3.8104
1124,1.3473,3.1598
1125,1.1894,4.8767
1126,1.8390,5.2175
1127,4.6224,7.9339
1128,1.7968,4.7037
1129,2.2102,4.2551
1130,2.2108,4.4880
1131,0.6473,2.2278
1132,2.1773,6.2346
1133,3.2950,6.0831
1134,1.6897,6.0133
1135,1.6482,3.8364
1136,2.9764,6.8662
1137,1.9684,3.5636
1138,0.9981,3.5844
1139,1.2133,3.5146
1140,2.1091,4.1527
1141,2.7733,4.8305
1142,2.0766,4.7296
1143,3.0882,5.1833
1144,5.5100,8.2851
1145,3.9707,7.2490
1146,1.3398,3.0788
1147,2.1752,3.6062
1148,0.7943,1.9928
1149,3.4610,6.0107
